date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:05	1201/1201	---M-Z	200	added ('OK')	text/html	etag:%226bc1249-4b1-55e708eb30bc0-gzip%22	https://patwari.org/bd/bhikshaalya.html	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/bhikshaalya.html	(from )
13:45:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Sep%202025%2008:16:40%20GMT	https://patwari.org/robots.txt		(from )
13:45:06	45758/45758	---M-Z	200	added ('OK')	text/html	etag:%226bc124e-b2be-55e70ab02f880-gzip%22	https://patwari.org/bd/topic.html	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/topic.html	(from https://patwari.org/bd/bhikshaalya.html)
13:45:07	80919/80919	---M-Z	200	added ('OK')	text/html	etag:%226bc10b5-13c17-62b9423baaa55-gzip%22	https://patwari.org/bd/overview.html	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/overview.html	(from https://patwari.org/bd/bhikshaalya.html)
13:45:09	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/BICHALI/www.google-analytics.com/analytics.js	(from https://patwari.org/bd/bhikshaalya.html)
13:45:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Sep%202025%2008:16:42%20GMT	https://patwari.org/bd/overview-summary.html	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/overview-summary.html	(from https://patwari.org/bd/bhikshaalya.html)
13:45:09	358/358	---M-Z	200	added ('OK')	application/xml	etag:%226bc12ad-166-55e708bb81b40-gzip%22	https://patwari.org/bd/topic_files/filelist.xml	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/topic_files/filelist.xml	(from https://patwari.org/bd/topic.html)
13:45:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Sep%202025%2008:16:44%20GMT	https://patwari.org/bd/topic_files/editdata.mso	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/topic_files/editdata.mso	(from https://patwari.org/bd/topic.html)
13:45:10	3081/3081	---M--	200	added ('OK')	application/vnd.ms-officetheme	etag:%226bc12a4-c09-55e70b96056c0%22	https://patwari.org/bd/topic_files/themedata.thmx	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/topic_files/themedata.thmx	(from https://patwari.org/bd/topic.html)
13:45:10	313/313	---M-Z	200	added ('OK')	application/xml	etag:%226bc12ab-139-55e7079996f40-gzip%22	https://patwari.org/bd/topic_files/colorschememapping.xml	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/topic_files/colorschememapping.xml	(from https://patwari.org/bd/topic.html)
13:45:10	530/530	---M--	200	added ('OK')	image/gif	etag:%226bc12a2-212-55e709e6f5dc0%22	https://patwari.org/bd/topic_files/image001.gif	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/topic_files/image001.gif	(from https://patwari.org/bd/topic.html)
13:45:11	3610/3610	---M--	200	added ('OK')	image/jpeg	etag:%226bc12aa-e1a-55e70aaf3b640%22	https://patwari.org/bd/topic_files/image003.jpg	C:/My%20Web%20Sites/BICHALI/patwari.org/bd/topic_files/image003.jpg	(from https://patwari.org/bd/topic.html)
